id,name,date,type,distance_km,moving_time_min,avg_hr,max_hr,elevation_gain_m
15354877999,Afternoon Run,2025-08-05T17:55:03Z,Run,6.32,37,167.7,186.0,20.0
15342917851,Evening Run,2025-08-04T18:27:22Z,Run,5.02,23,189.8,202.0,3.0
15321358971,Afternoon Run,2025-08-02T16:47:28Z,Run,10.56,72,156.9,174.0,9.0
15300008973,Evening Run,2025-07-31T19:04:40Z,Run,1.72,10,171.0,182.0,19.0
15300002304,Afternoon Run,2025-07-31T17:38:57Z,Run,9.43,50,179.6,200.0,16.0
15287176318,Afternoon Trail Run,2025-07-30T15:58:00Z,Run,6.75,42,176.9,194.0,203.0
15278249651,Evening Weight Training,2025-07-29T20:11:10Z,WeightTraining,0.0,31,111.7,149.0,0
15265881967,Evening Run,2025-07-28T19:20:34Z,Run,3.58,20,178.8,192.0,4.0
15265626008,Evening Run,2025-07-28T18:17:49Z,Run,8.64,60,154.3,169.0,34.0
15234745049,Evening Walk,2025-07-25T20:38:04Z,Walk,3.42,40,111.7,124.0,6.0
15223482982,Afternoon Run,2025-07-24T17:40:30Z,Run,9.7,57,176.5,196.0,93.0
15208186532,Lunch Walk,2025-07-23T11:31:49Z,Walk,1.96,19,99.5,144.0,2.0
15201311846,Evening Run,2025-07-22T19:36:37Z,Run,6.33,47,153.4,169.0,8.0
15201311823,Evening Run,2025-07-22T18:58:45Z,Run,5.1,28,174.8,194.0,14.0
15196227179,Lunch Weight Training,2025-07-22T12:25:34Z,WeightTraining,0.0,23,129.4,160.0,0
15183458321,Morning Run,2025-07-21T07:43:28Z,Run,6.56,44,154.4,168.0,4.0
15180325349,Evening Walk,2025-07-20T19:11:08Z,Walk,4.44,49,103.7,119.0,5.0
15163819824,Lunch Inline Skate,2025-07-19T12:08:20Z,InlineSkate,4.62,29,145.8,160.0,2.0
15156855127,Evening Run,2025-07-18T18:10:22Z,Run,6.58,46,153.1,171.0,3.0
15134251189,Afternoon Weight Training,2025-07-16T16:34:40Z,WeightTraining,0.0,30,108.8,137.0,0
15123952180,Afternoon Run,2025-07-15T17:55:30Z,Run,6.4,37,165.0,183.0,20.0
15101583562,Spartan Race Beast Valča 🟢,2025-07-13T10:00:08Z,Run,21.84,271,158.6,192.0,1216.0
15086983973,Lunch Run,2025-07-12T11:14:40Z,Run,3.27,20,161.1,178.0,1.0
15054717315,Morning Run,2025-07-09T10:42:17Z,Run,5.15,34,156.5,168.0,14.0
15037083519,Evening Weight Training,2025-07-07T18:56:32Z,WeightTraining,0.0,25,117.3,146.0,0
